date,Open,High,Low,Close,Volume
2023-01-03,70.75,74.25,70.1,73.6,22687813.0
2023-01-04,74.2,78.2,73.3,77.55,36302156.0
2023-01-05,79.7,80.85,78.3,79.35,38861764.0
2023-01-06,80.0,80.6,77.05,78.2,27446149.0
2023-01-09,80.0,80.4,78.4,79.85,23582621.0
2023-01-10,79.95,80.35,75.85,77.75,23566547.0
2023-01-11,77.95,79.25,76.4,76.7,23811793.0
2023-01-12,77.2,77.2,71.85,73.25,44263209.0
2023-01-13,73.25,74.55,72.85,74.4,17739151.0
2023-01-16,74.5,75.35,70.4,71.5,23110934.0
2023-01-17,71.5,74.45,70.85,71.5,19724340.0
2023-01-18,71.5,73.2,69.8,72.5,24396147.0
2023-01-19,69.6,69.8,67.65,68.15,32539045.0
2023-01-20,68.85,70.5,68.15,70.1,20863961.0
2023-01-26,72.2,72.4,70.3,71.7,15777581.0
2023-01-27,72.0,73.2,71.7,72.7,15916816.0
2023-01-30,74.0,74.0,68.1,68.6,38323215.0
2023-01-31,68.95,70.5,67.65,68.65,22774317.0
2023-02-01,69.4,71.65,67.4,71.4,22377570.0
2023-02-02,72.8,74.0,70.5,70.85,19889363.0
2023-02-03,70.5,72.25,68.75,69.25,17847896.0
2023-02-06,67.3,67.3,64.8,65.75,25755767.0
2023-02-07,65.7,67.95,65.25,66.6,16119321.0
2023-02-08,66.4,66.7,62.0,62.5,41228599.0
2023-02-09,61.95,65.0,61.3,65.0,23135942.0
2023-02-10,63.85,64.45,61.05,61.3,24818601.0
2023-02-13,61.0,63.95,60.1,63.25,21704991.0
2023-02-14,64.0,64.0,62.05,62.2,20510061.0
2023-02-15,62.25,62.75,60.45,60.75,15733777.0
2023-02-16,61.7,63.95,61.45,61.9,22061119.0
2023-02-17,61.7,62.8,59.75,59.95,16377389.0
2023-02-20,59.45,61.35,58.65,60.75,16883854.0
2023-02-21,60.15,60.6,56.35,56.95,31618880.0
2023-02-22,56.5,57.1,55.0,55.5,29490435.0
2023-02-23,55.05,56.1,53.85,55.05,25845997.0
2023-02-24,54.75,55.0,52.75,52.85,25071606.0
2023-02-27,51.8,55.0,51.55,54.2,27128115.0
2023-02-28,53.3,54.05,51.9,52.5,28583472.0
2023-03-01,52.55,56.6,52.4,56.05,36986358.0
2023-03-02,54.5,56.2,54.5,55.6,19120463.0
2023-03-03,57.45,59.7,56.95,58.75,31036902.0
2023-03-06,58.75,59.5,56.35,57.6,22402290.0
2023-03-07,57.35,58.55,55.05,55.85,21669574.0
2023-03-08,54.45,54.95,53.6,54.35,17473992.0
2023-03-09,54.1,54.55,52.95,53.1,12068363.0
2023-03-10,51.55,51.6,49.7,50.2,42677520.0
2023-03-13,51.4,53.95,51.0,52.3,27349789.0
2023-03-14,52.05,52.6,49.7,50.05,20626651.0
2023-03-15,51.35,52.8,50.85,51.3,16523787.0
2023-03-16,49.8,52.35,49.8,51.15,15907565.0
2023-03-17,52.8,54.0,52.1,53.4,27353918.0
2023-03-20,53.05,54.05,51.8,53.0,16609033.0
2023-03-21,53.25,53.7,51.75,53.3,15408504.0
2023-03-22,53.85,56.35,53.85,54.0,22144012.0
2023-03-23,54.0,56.85,53.15,56.6,21760853.0
2023-03-24,56.05,58.0,55.45,56.9,20418281.0
2023-03-27,56.9,57.5,54.6,55.4,22736086.0
2023-03-28,56.15,56.6,54.65,55.4,19259513.0
2023-03-29,57.3,59.6,55.55,56.25,28552514.0
2023-03-30,59.15,61.9,58.5,59.4,55892243.0
2023-03-31,60.8,61.35,59.9,60.45,20004974.0
2023-04-03,60.25,60.85,57.0,58.4,25997991.0
2023-04-04,58.35,58.35,55.5,56.9,21341711.0
2023-04-06,55.45,56.4,54.35,56.15,20597431.0
2023-04-11,56.4,57.15,55.05,56.2,17652918.0
2023-04-12,56.2,56.5,53.1,54.1,23031709.0
2023-04-13,52.4,54.75,52.1,54.75,18095319.0
2023-04-14,55.0,56.2,53.55,54.05,18069750.0
2023-04-17,53.0,55.2,52.25,54.85,22468751.0
2023-04-18,54.2,54.25,52.8,54.1,21252962.0
2023-04-19,53.55,53.8,51.1,51.7,27991322.0
2023-04-20,50.8,50.8,48.4,49.0,43458299.0
2023-04-21,48.55,49.7,48.2,48.55,15863034.0
2023-04-24,48.75,50.85,48.65,50.05,18628592.0
2023-04-25,49.45,49.8,47.45,48.1,17103309.0
2023-04-26,48.0,51.2,47.85,50.75,24426104.0
2023-04-27,50.35,51.7,49.9,51.35,14197072.0
2023-04-28,51.35,53.05,51.0,51.3,16516636.0
2023-05-02,52.5,52.75,50.2,50.85,4842631.0
2023-05-03,49.65,50.5,49.4,50.35,5963475.0
2023-05-04,50.65,51.6,49.95,50.45,8713902.0
2023-05-05,51.4,52.5,50.7,51.75,13168305.0
2023-05-08,51.95,52.5,51.3,51.85,10318057.0
2023-05-09,51.85,51.85,49.65,50.05,14158705.0
2023-05-10,50.1,51.4,49.4,50.95,10885730.0
2023-05-11,51.1,51.5,50.1,51.05,10823619.0
2023-05-12,52.35,52.95,50.9,51.05,14210191.0
2023-05-15,50.25,53.2,50.1,52.65,15372268.0
2023-05-16,53.4,54.0,52.75,53.0,11646718.0
2023-05-17,53.3,54.75,52.3,52.6,16840543.0
2023-05-18,53.35,54.25,52.1,52.55,10266470.0
2023-05-19,51.75,51.8,49.3,50.05,21427896.0
2023-05-22,50.5,54.1,50.15,53.5,25695748.0
2023-05-23,55.25,57.1,54.9,55.15,41019304.0
2023-05-24,55.15,56.5,54.45,55.55,24657048.0
2023-05-25,55.4,56.4,53.25,53.8,26187178.0
2023-05-29,54.75,55.1,50.85,51.2,24896456.0
2023-05-30,51.9,54.8,51.4,54.5,24168652.0
2023-05-31,53.8,54.0,51.3,53.0,68326353.0
2023-06-01,52.45,55.3,51.8,53.55,29763977.0
2023-06-02,55.1,57.55,55.05,57.1,44509055.0
2023-06-05,58.0,58.1,56.4,57.5,18240841.0
2023-06-06,57.1,57.7,55.5,56.2,17404258.0
2023-06-07,57.6,58.95,57.6,58.45,23952965.0
2023-06-08,58.0,58.25,56.05,56.8,21462205.0
2023-06-09,57.5,58.65,56.75,58.4,15916914.0
2023-06-12,58.95,59.7,58.45,59.65,17042354.0
2023-06-13,59.4,59.9,58.3,59.35,25243788.0
2023-06-14,59.6,60.55,58.2,59.1,17572098.0
2023-06-15,60.4,61.4,59.6,61.15,27539014.0
2023-06-16,61.4,62.0,59.6,59.9,69257174.0
2023-06-19,59.25,59.6,56.8,57.8,22453292.0
2023-06-20,57.45,58.1,56.1,56.65,12524731.0
2023-06-21,55.55,56.0,54.55,54.9,15227403.0
2023-06-23,54.9,55.4,53.8,54.15,6362333.0
2023-06-26,54.15,55.05,53.5,54.4,13876289.0
2023-06-27,55.0,56.9,54.7,56.2,15335001.0
2023-06-28,56.2,57.0,55.3,56.7,12233995.0
2023-06-29,56.45,56.6,54.45,55.2,11838933.0
2023-06-30,55.25,55.25,53.1,53.55,17087733.0
2023-07-03,54.1,56.35,53.85,55.6,12692078.0
2023-07-04,55.35,56.3,55.0,55.75,8455864.0
2023-07-05,55.6,55.95,54.25,55.25,6103607.0
2023-07-06,54.55,55.3,52.8,53.8,11852043.0
2023-07-07,53.45,53.55,50.65,52.5,22183654.0
2023-07-10,53.75,54.8,53.55,54.1,12229323.0
2023-07-11,54.95,55.3,53.55,53.7,10188726.0
2023-07-12,54.35,56.8,54.15,55.45,23830899.0
2023-07-13,57.5,60.0,57.3,59.85,39894915.0
2023-07-14,60.45,61.0,59.0,59.6,21399047.0
2023-07-18,58.7,58.9,56.75,57.2,15543281.0
2023-07-19,56.7,58.2,55.9,57.9,13486911.0
2023-07-20,58.5,60.1,56.7,57.0,19175823.0
2023-07-21,57.05,60.1,57.05,59.75,22698898.0
2023-07-24,58.45,60.1,58.05,58.35,15183891.0
2023-07-25,62.0,63.5,61.5,63.3,47233534.0
2023-07-26,62.8,63.5,62.05,63.35,18048551.0
2023-07-27,64.35,65.25,62.75,64.05,25791252.0
2023-07-28,62.65,66.55,62.45,65.45,30021732.0
2023-07-31,68.45,71.2,66.6,67.2,52731429.0
2023-08-01,71.0,72.5,67.3,68.0,53774059.0
2023-08-02,67.15,67.9,64.7,65.6,25115578.0
2023-08-03,65.55,67.95,65.25,67.0,18358220.0
2023-08-04,69.1,71.2,67.6,68.85,24430606.0
2023-08-07,68.55,68.8,67.4,68.55,10816743.0
2023-08-08,67.6,67.8,65.35,66.35,18791757.0
2023-08-09,66.05,68.6,65.25,68.35,17768280.0
2023-08-10,68.15,69.5,67.3,69.15,13416178.0
2023-08-11,69.2,69.3,66.55,67.1,13075614.0
2023-08-14,65.55,66.35,64.2,65.85,21279881.0
2023-08-15,65.8,66.7,63.25,64.65,15924261.0
2023-08-16,63.1,64.4,62.5,63.05,14953844.0
2023-08-17,62.05,64.95,60.85,64.4,20594655.0
2023-08-18,63.6,65.25,63.15,63.6,17104709.0
2023-08-21,62.45,63.6,61.0,61.45,21425450.0
2023-08-22,62.05,63.35,60.2,62.5,22102602.0
2023-08-23,62.6,65.5,60.4,64.4,33349955.0
2023-08-24,64.65,68.25,64.65,67.9,33909040.0
2023-08-25,66.65,67.9,65.2,65.25,24489382.0
2023-08-28,69.0,69.2,66.0,66.45,19920042.0
2023-08-29,67.0,69.0,66.9,68.65,22131805.0
2023-08-30,69.3,69.6,64.45,64.95,40491475.0
2023-08-31,65.8,66.4,63.8,64.2,27263500.0
2023-09-04,66.05,66.95,64.85,65.5,36964735.0
2023-09-05,65.1,65.9,64.6,65.0,15876722.0
2023-09-06,64.4,65.95,64.2,65.65,18140835.0
2023-09-07,65.5,65.5,63.85,64.3,11964159.0
2023-09-11,62.25,65.6,61.7,65.0,21216283.0
2023-09-12,64.25,65.45,63.85,64.5,9480935.0
