date,Open,High,Low,Close,Volume
2025-01-13,139.0,139.0,133.5,137.4,37818018.0
2025-01-14,138.8,146.7,138.1,144.3,58761811.0
2025-01-15,143.3,146.0,141.2,144.5,29515844.0
2025-01-16,146.7,150.5,144.5,147.6,37707184.0
2025-01-17,148.2,149.1,145.0,147.8,20474850.0
2025-01-20,151.0,158.8,150.6,155.5,62838210.0
2025-01-21,159.7,160.4,155.0,158.5,41021524.0
2025-01-22,157.5,157.5,151.3,152.5,39709233.0
2025-01-23,153.7,155.7,150.0,151.1,25525543.0
2025-01-24,153.3,153.7,149.0,150.0,39355209.0
2025-01-27,151.8,155.3,149.3,149.7,37485511.0
2025-01-28,151.8,152.4,146.8,148.2,16691789.0
2025-02-03,148.2,148.2,140.0,142.3,42691211.0
2025-02-04,144.9,151.9,144.2,150.8,52094377.0
2025-02-05,154.0,154.2,146.8,150.9,48027206.0
2025-02-06,152.8,152.9,146.8,150.1,35817495.0
2025-02-07,148.0,155.8,146.0,154.1,49976855.0
2025-02-10,155.0,163.3,154.5,162.7,65305089.0
2025-02-11,166.2,167.6,161.3,161.8,56360376.0
2025-02-12,162.6,162.7,150.2,155.2,114470084.0
2025-02-13,155.2,167.5,155.2,159.7,94924956.0
2025-02-14,162.0,170.0,161.9,169.9,75772482.0
2025-02-17,174.2,179.3,166.1,168.9,85909353.0
2025-02-18,170.2,177.0,167.0,172.9,66733331.0
2025-02-19,169.6,171.8,166.0,167.7,46995938.0
2025-02-20,158.0,160.2,156.1,156.9,90728227.0
2025-02-21,158.8,163.2,155.3,162.9,85995656.0
2025-02-24,164.7,168.9,160.0,166.5,62554358.0
2025-02-25,160.0,163.3,157.2,158.6,52752020.0
2025-02-26,161.1,177.0,160.0,174.2,100972406.0
2025-02-27,175.1,176.0,167.8,172.8,62385994.0
2025-02-28,169.8,170.5,160.3,162.0,64070709.0
2025-03-03,162.8,166.1,160.8,162.6,36975379.0
2025-03-04,158.9,163.1,158.0,161.2,23331992.0
2025-03-05,165.1,172.7,163.5,171.5,48079120.0
2025-03-06,174.7,181.5,174.2,180.3,68514831.0
2025-03-07,180.3,189.6,177.0,183.5,75915127.0
2025-03-10,183.5,184.0,173.0,174.9,50030702.0
2025-03-11,170.0,173.3,167.7,171.6,47328733.0
2025-03-12,174.2,175.6,165.1,168.3,39260107.0
2025-03-13,168.3,168.9,161.4,164.5,38849089.0
2025-03-14,168.4,175.5,165.4,173.4,44151948.0
2025-03-17,177.8,178.9,174.2,175.1,37555448.0
2025-03-18,181.5,181.8,174.7,177.3,41082229.0
2025-03-19,176.6,176.6,172.4,175.9,38845173.0
2025-03-20,175.9,175.9,167.7,168.1,44029819.0
2025-03-21,168.9,172.4,165.6,167.6,49899045.0
2025-03-24,163.0,166.2,158.8,165.7,61238376.0
2025-03-25,162.9,163.0,158.1,158.5,43845502.0
2025-03-26,159.0,161.2,156.7,159.9,26504416.0
2025-03-27,162.2,165.8,159.6,162.8,25666765.0
2025-03-28,163.1,165.5,159.0,160.1,23655795.0
2025-03-31,156.2,160.1,154.1,155.8,35770136.0
2025-04-01,157.7,160.3,156.9,157.9,22898803.0
2025-04-02,157.0,160.3,155.5,157.8,18784941.0
2025-04-03,152.4,160.8,152.4,157.9,32917192.0
2025-04-07,145.1,148.9,132.7,134.3,98058866.0
2025-04-08,135.8,144.5,135.8,140.6,80514588.0
2025-04-09,135.0,149.4,133.3,146.4,70467850.0
2025-04-10,148.3,152.3,144.0,145.4,72400269.0
2025-04-11,144.9,146.2,141.0,143.5,51245697.0
