date,Open,High,Low,Close,Volume
2025-01-13,125.1,126.0,123.2,125.3,2469842.0
2025-01-14,125.4,132.3,125.4,130.7,3349451.0
2025-01-15,130.2,131.0,128.0,129.1,2367410.0
2025-01-16,131.9,136.5,131.5,135.5,5332980.0
2025-01-17,133.3,135.6,132.5,134.6,2526822.0
2025-01-20,138.0,139.9,135.8,137.2,3815775.0
2025-01-21,139.7,141.6,136.3,138.0,2924482.0
2025-01-22,134.0,134.2,128.6,129.2,6758835.0
2025-01-23,129.8,131.8,126.2,127.3,4324119.0
2025-01-24,127.3,132.2,126.6,131.4,4391039.0
2025-01-27,131.5,134.3,130.9,132.3,4026070.0
2025-01-28,132.3,134.8,132.3,133.7,959941.0
2025-02-03,126.3,126.9,122.0,126.5,3556255.0
2025-02-04,130.0,138.9,130.0,138.2,5593915.0
2025-02-05,136.7,139.9,133.7,139.9,6910008.0
2025-02-06,137.0,142.7,136.2,142.0,5762379.0
2025-02-07,142.3,150.1,141.0,145.8,8419593.0
2025-02-10,147.2,150.3,144.8,146.7,5878565.0
2025-02-11,143.9,143.9,136.8,137.7,8263200.0
2025-02-12,139.4,142.8,137.6,141.7,6706532.0
2025-02-13,145.6,161.0,144.9,149.7,17735291.0
2025-02-14,154.9,174.0,153.0,172.1,21787935.0
2025-02-17,175.3,178.1,156.2,160.3,18611182.0
2025-02-18,161.8,171.5,160.4,167.3,13804708.0
2025-02-19,163.0,165.2,158.8,163.5,7759692.0
2025-02-20,158.0,159.7,153.2,154.8,8698936.0
2025-02-21,169.4,180.3,162.5,180.3,21318543.0
2025-02-24,178.6,180.9,169.0,177.7,10643298.0
2025-02-25,161.0,169.5,159.4,164.2,12929268.0
2025-02-26,168.4,175.5,166.6,173.2,10041716.0
2025-02-27,168.3,171.5,162.5,164.8,11576951.0
2025-02-28,163.0,165.9,154.1,156.3,9761111.0
2025-03-03,158.0,162.9,154.5,158.1,5578594.0
2025-03-04,154.5,164.6,152.7,160.6,7147958.0
2025-03-05,166.0,168.7,162.7,167.5,5433291.0
2025-03-06,172.0,179.4,171.6,178.0,10555607.0
2025-03-07,175.8,190.8,174.6,181.5,13193972.0
2025-03-10,187.1,190.1,176.5,180.9,9928266.0
2025-03-11,172.3,181.3,170.7,180.5,8034956.0
2025-03-12,178.9,180.5,164.8,168.2,11826898.0
2025-03-13,166.8,167.3,159.2,163.2,7488912.0
2025-03-14,164.4,167.8,159.5,166.3,6338398.0
2025-03-17,166.8,170.0,162.7,163.9,5175728.0
2025-03-18,171.0,172.3,168.2,172.0,6405060.0
2025-03-19,169.7,172.2,167.7,168.3,4211199.0
2025-03-20,167.5,167.5,160.7,161.2,4733803.0
2025-03-21,158.5,162.1,154.0,156.1,6870887.0
2025-03-24,154.8,158.4,152.4,157.1,4551156.0
2025-03-25,154.4,155.8,149.2,149.9,5146350.0
2025-03-26,150.7,153.0,149.6,151.4,2974522.0
2025-03-27,152.2,159.3,150.6,154.7,5705019.0
2025-03-28,157.6,158.5,150.4,153.6,3888720.0
2025-03-31,147.7,151.0,145.2,148.7,4744656.0
2025-04-01,150.0,152.5,149.0,150.1,2740188.0
2025-04-02,148.7,153.0,146.8,149.8,3072169.0
2025-04-03,146.4,149.9,145.8,148.2,2969263.0
2025-04-07,126.0,132.0,117.0,118.6,14059802.0
2025-04-08,122.0,126.5,119.0,123.9,10402782.0
2025-04-09,116.1,129.2,113.6,126.9,9582123.0
2025-04-10,132.1,133.9,126.5,127.8,7466318.0
2025-04-11,127.8,132.9,125.0,130.3,6045625.0
