date,Open,High,Low,Close,Volume
2023-01-03,105.5193,112.4215,105.5193,112.1379,4042601.0
2023-01-04,113.0834,119.7965,112.2324,118.851,9520228.0
2023-01-05,121.0257,122.8222,118.6619,119.8911,8010724.0
2023-01-06,122.0657,122.0657,116.0145,117.9055,7855527.0
2023-01-09,119.1347,121.9712,119.1347,120.9311,6075607.0
2023-01-10,118.1891,120.9311,117.7164,120.1747,7319095.0
2023-01-11,120.2693,122.7276,118.7564,119.1347,6590850.0
2023-01-12,123.8622,127.4552,122.3494,123.5786,10581881.0
2023-01-13,125.1859,130.4808,124.1459,129.4407,8976763.0
2023-01-16,129.4407,130.1026,124.9023,126.5097,5793376.0
2023-01-17,125.375,126.7933,123.5786,126.3206,4817763.0
2023-01-18,132.3718,135.3975,130.9536,134.5465,8757056.0
2023-01-19,134.1683,134.1683,130.0081,130.4808,5295149.0
2023-01-20,133.1282,133.7901,130.1026,133.3173,4495153.0
2023-01-26,135.7757,137.0049,133.7901,136.9103,5371821.0
2023-01-27,137.194,138.6122,136.0593,136.8157,2813343.0
2023-01-30,136.4375,137.3831,131.9936,133.0337,8840081.0
2023-01-31,134.6411,135.2084,130.1026,132.0882,6861128.0
2023-02-01,132.2773,136.0593,130.4808,135.7757,6888039.0
2023-02-02,135.7757,137.8558,134.2629,134.7356,3700281.0
2023-02-03,134.452,136.2484,132.8446,135.492,4503492.0
2023-02-06,134.7356,134.7356,130.6699,131.5209,6737830.0
2023-02-07,131.5209,135.0193,129.819,133.3173,4910298.0
2023-02-08,131.2372,140.125,130.4808,134.7356,8721411.0
2023-02-09,130.4808,135.7757,129.2516,135.3975,8035679.0
2023-02-10,134.9247,136.5321,129.5353,130.2917,6668156.0
2023-02-13,127.7388,132.5609,126.226,131.4263,4882319.0
2023-02-14,131.4263,131.6154,128.968,129.7244,3690561.0
2023-02-15,128.3061,129.4407,126.7933,127.7388,4106381.0
2023-02-16,128.0225,133.0337,128.0225,130.6699,6020524.0
2023-02-17,131.3318,133.3173,127.9279,128.6843,5614654.0
2023-02-20,128.8734,131.8991,127.7388,131.0481,2547656.0
2023-02-21,131.0481,131.4263,126.6042,127.4552,6201999.0
2023-02-22,126.6042,128.7789,125.1859,126.3206,6025388.0
2023-02-23,126.6042,132.6555,126.6042,131.5209,5658638.0
2023-02-24,123.2949,123.2949,116.109,116.7709,14603849.0
2023-02-27,116.2036,118.5673,114.5962,117.5273,8007155.0
2023-02-28,117.5273,118.4728,114.1234,114.5016,9672111.0
2023-03-01,117.2436,125.5641,116.4872,124.1459,9373964.0
2023-03-02,121.1202,125.2805,121.1202,123.8622,6388166.0
2023-03-03,127.1715,129.4407,125.0914,128.2116,6964215.0
2023-03-06,126.9824,129.2516,126.6042,128.0225,4968731.0
2023-03-07,128.0225,131.0481,126.3206,127.8334,5741530.0
2023-03-08,126.1485,126.1485,121.5957,123.0185,5176859.0
2023-03-09,123.0185,124.1566,121.406,121.5009,4162406.0
2023-03-10,120.8369,122.9236,118.8451,121.0266,13373920.0
2023-03-13,124.536,126.9072,123.2082,124.9154,6007016.0
2023-03-14,124.9154,126.6227,121.2163,122.5442,5955974.0
2023-03-15,127.8557,128.9939,126.1485,127.0969,5805096.0
2023-03-16,125.3897,127.0021,123.7772,124.9154,2913930.0
2023-03-17,128.0454,130.3218,126.8124,128.33,7110180.0
